문장,분류,인식,기대
"A씨는 ""수능이 다가오면 유명 강사들 과외비는 부르는 게 값이고, 족집게 과외는 이보다 훨씬 비싸다""며 ""그래도 과학은 과외를 하면 오르는 과목이라 막판에 많이들 한다""고 전했다.",11,3,0
자연스럽게 사교육비는 눈덩이처럼 불어났다.,11,0,0
"일동후디스 관계자는 ""실제 캠페인에 참가한 부모들로부터 '보육비 부담을 덜 수 있어 도움이 됐다'는 반응을 얻고 있다""고 전했다.",11,1,0
"하버드는 수익 감소, 예산 부족에 대비하고 있다.",0,0,0
"단지와 500ｍ거리에 길동초, 둔촌중, 한영외고 등이 위치해 교육여건이 양호하다.",0,0,0
즉 납입기간에 비례해 납입원금이 달라지고 소득대체율 차이가 발생한 것이다.,0,0,0
두 자녀 허용 정책이 곧바로 ‘베이비붐’을 일으킬 가능성 또한 낮다는 분석도 나온다.,0,0,0
실제 고시촌에서 만난 사시생들이 가진 로스쿨에 대한 반감은 생각보다 컸다.,0,0,0
반면 중국이 전날 한 가구당 두 자녀를 전면적으로 허용하는 산아제한 폐지 정책을 발표하면서 유아용품주는 27% 이상 급등하는 등 최고치를 경신하고 있다.,16,3,0
또한 도서관과 학원가 등 교육지원 시설이 조성돼있어 울산 최고 수준의 교육환경을 갖추고 있다.,0,0,0
"메가스터디교육의 고등부 사이트 메가스터디가 내년도 대입 대비 바른 가격으로 입시의 완성을 지원하는 ‘2017 바른공부 메가패스’를 최근 오픈, 오는 11월11일까지 신청받는다고 밝혔다.",0,0,0
이런 전통은 모른 채 형식만 따라 하는 핼러윈은 부모들에게는 적잖게 돈이 들어가는 마뜩잖은 연중 행사일 뿐입니다.,0,0,0
“유치위원 대부분이 국제 체육계 관행을 잘 몰랐다.,0,0,0
“유타대학교에 마련한 올림픽빌리지로 학생 기숙사 문제를 해결했다.,0,0,0
이명박 대통령은 23일 “학원비가 크게 올라 서민 가계에 큰 부담이 되고 있다는 얘기를 듣고 있다”면서 실태조사와 종합대책 마련을 지시했다.,11,3,0
이 대통령은 이날 오전 청와대에서 열린 국무회의에서 “공교육을 살려서 사교육비를 줄이겠다는 정부의 중장기적인 사교육비 절감대책은 꾸준히 추진해 나가야 하지만 당장 서민생활에 부담이 되는 학원비 등 사교육비 경감대책은 별도로 마련돼야 한다”며 이같이 말했다고 이동관 청와대 대변인이 전했다.,11,3,0
이 대변인은 “요즘 유수의 학원들이 현금만 받는다는데 국세청도 필요하면 해야 하지 않겠느냐”고 말해 대대적인 학원 조사에 나설 뜻을 내비쳤다.,0,0,0
공정거래위원회가 다음달 '학원비 부풀리기' 제재를 예고한 가운데 교육과학기술부도 강도 높은 학원비 실태조사에 나서기로 했다.,11,0,2
서울시교육청이 권영진 한나라당 의원에게 제출한 자료에 따르면 지난 2005년부터 올 8월말까지 서울시내 학원들의 수강료 실태를 점검한 결과 1516곳이 수강료를 신고가격보다 비싸게 받다가 적발됐다.,11,0,0
"2005년에는 3930개 학원 중 534곳, 2006년에는 3547곳 중 436곳, 지난해에는 4163곳 중 409곳, 올 8월까지는 3196곳중 137곳이 수강료 초과 징수로 교습정지·경고 등의 행정처분을 받았다.",0,0,0
서울 시내 학원 10곳 중 1곳 꼴로 '학원비 부풀리기'로 적발된 셈이다.,11,3,0
정부가 교육과학기술부ㆍ공정거래위원회ㆍ법무부ㆍ국세청 등 관련 부처 합동으로 학원비에 대한 대대적인 실태조사와 함께 위법행위에 대해 제재에 나설 태세다.,11,0,0
이런 교육비 증가의 대부분이 사교육비에서 비롯된 것임은 두말 할 필요가 없다.,11,0,0
경기침체로 소득은 늘지 않고 물가만 치솟아 민생고가 말이 아닌데 사교육비 부담은 오히려 커지고 있으니 국민이 느끼는 고통이 어떨지 짐작하기 어렵지 않다.,11,3,0
오죽하면 과외금지라는 초헌법적인 조치로 국민을 사교육에서 해방시켰던 1980년대 전두환 군사독재정권 시절이 그립다는 말까지 나올 정도겠는가.이번 실태조사를 통해 신고액의 몇 배씩 수강료를 과다 징수하고 교재비ㆍ특강비 등 각종 명목으로 바가지를 씌운 악덕 학원을 철저히 가려내 엄하게 처벌해야 한다.,11,3,0
부실 공교육이 사교육을 부추기는 중요한 요인임은 두말 할 필요가 없다.,0,0,0
공교육의 질을 높여 교육수요자들의 신뢰를 되살리지 않고는 사교육은 수그러들기 어렵다.,0,0,0
사교육을 번성케 하는 가장 근본적인 요인은 소수 명문대학을 겨냥한 과열 입시경쟁에서 찾을 수 있다.,0,0,0
이에 따라 경쟁 제품 대비 35% 적은 총 소유비용과 트랜잭션당 비용을 최대 50%까지 절감시킬 수 있다고 회사측은 설명했다.,0,0,0
신문의 수입이 줄어드는 이유의 하나는 신문용지 같은 기본 제품의 가격 상승으로 인한 경영난이다.,10,3,0
또 40억원 상당에 이르는 재고ㆍ이월 상품을 최대 80%까지 할인하는 '개미장터'도 오는 28일까지 열린다.,0,1,0
"소니, 올림푸스, 카시오 등의 디지털카메라, 삼성, 아이리버의 MP3플레이어도 최대 80%까지 내린 가격에 판매한다.",10,1,0
그리고 사람들은 저마다 원하는 방식으로 크루즈를 즐긴다.,0,0,0
"당시 금을 실어 나르던 화이트패스는 아름다운 협곡과 눈 덮인 산들을 사이에 두고 달리는 관광열차로 인해, 연인원 백만이 넘는 관광객을 불러 모으고 있었다.",0,0,0
우리는 스캐그웨이 역에서 티켓을 사들고 화이트 패스 열차에 올라탔다.,0,0,0
"이번 여행에서 그토록 바라던 에스키모인의 얼음집도 못보고 커다란 흰 곰이 눈밭에서 구르는 모습도 못 봤지만, 후배가 촘촘히 세팅해놓은 이 길 위에서, 같은 것을 바라보며 서로의 행복한 감상을 긍정해주고 북돋워 주는 사람들을 만난 것만으로도 충분히 의미 있는 시간이었다.",0,0,0
이 증권사 강록희 연구원은 “북경 올림픽으로 인한 일시적 유저 이탈과 풀베팅기능 폐지로 웹보드게임 매출이 급감하면서 3·4분기 실적이 부진할 것으로 전망된다”고 분석했다.,0,0,0
이런 특이한 패턴은 지금까지의 주식차트 책에서 찾아보기 힘듭니다.,0,0,0
불확실성에 의한 불안심리가 극에 달하고 있을 때에 이런 차트까지 만들어질 수 있음을 목격하게 된 것입니다.,0,0,0
"‘굿아이 빅3’ 고객은 항공 마일리지 및 자동차, 뷰티 등을 선택해 다양한 혜택을 누릴 수 있다.",0,0,0
이는 기존 제품 대비 30∼50% 가량 저렴한 가격이다.,0,1,0
히타치어플라이언스도 10월 1일 출하분부터 업무용 에어컨의 실외기 가격을 약 10% 인상한다.,10,3,0
"이들은 해외 유명 MBA 졸업장과 트랙레코드, 젊음을 무기 삼아 컨설팅 시장에 나온다.",0,0,0
아이파크백화점은 오는 26일부터 가을정기 'Dream SALE'을 연다.,0,1,0
10편의 수록작 가운데 7편이 미래를 시간적 배경으로 하고 있다.,0,0,0
[리빙 앤 조이] 기차가 있어 더 편리한 시티투어 5선,0,0,0
시티 투어는 고유가 시대에 맞게 대중 교통 수단과 연계해 저렴하고 편리하게 국내 여행을 할 수 있는 방식으로 전문 문화 해설사의 설명을 들으면서 알찬 여행을 만들 수 있다.,10,1,0
"■빨간색 2층 버스, 부산시티투어 해변의 낭만과 멋이 물씬 넘치는 부산.",0,0,0
최근 부산에서 각광을 받기 시작한 상징물이 생겼으니 바로 빨간색 바탕에 파도가 수놓아진 부산시티투어 2층 버스다.,0,0,0
"태종대, 해운대 등 부산의 해안 관광 명소를 특별하게 즐길 수 있는 부산시티투어는 부산역 앞에서 출발하기 때문에 전국 각지에서 찾아 오는 기차 여행객이 이용하기 좋은 여행 수단이다.",0,0,0
특히 KTX를 이용한 관광객은 티켓을 버리지 말고 간직하는 것이 좋다.,0,0,0
【여수=뉴시스】 전남 여수시가 일정 시간 봉사활동에 참여한 자원봉사자들에 대해 공영주차장 이용 요금을 반값만 받고 있다.,8,1,0
"시 관계자는 ""작지만 봉사의 뜻을 기리는 마음에서 각종 혜택을 부여할 계획""이라며 ""아직 200시간 이상 적립해 주차요금을 할인 받은 사람이 적지만 전국체전과 세계박람회개최에 힘입어 점점 봉사활동 시간과 참가자가 늘어날 것으로 기대한다""고 말했다.",8,1,0
"글·사진/강제윤 한겨레 전문기자 이병학 기자 현 여행전문기자로 문화섹션 여행, 맛 담당 역임 저술이병학의 맛있는 여행 바로가기 다른 기사 보기 한겨레 전문기자 박미향 기자 현 Esc섹션 담당 사진기자로 '맛기자 박미향, 와인집을 가다', '박미향기자의 신기한 메뉴' 연재 , 등 저술 박미향의 맛있는 여행 바로가기 다른 기사 보기",0,0,0
"공동집필자 중 한 명인 오금선 양은 ""독자들이 이해하기 쉽게 식당 약도와 사진을 곁들여 책을 만들었다""며 ""이 책이 특히 처음 중국여행을 떠나려는 분들에게 많은 도움이 됐으면 좋겠다""고 말했다.",0,0,0
"야외 갑판에 보통 스파 욕조와 수영장, 선베드를 갖추고 있으며 각종 운동시설, 6~8개 레스토랑, 면세점, 카지노, 스파, 키즈 프로그램 시설 등이 있다.",0,0,0
"크루즈 경비에는 모든 식사와, 숙박, 선상에서의 모든 이벤트와 파티, 공연 등이 포함돼 있다.",8,0,0
"특등급 초고속정보통신건물 인증은 각 가정의 세대 단자함까지 광케이블을 설치하고, 디지털방송 시청이 가능한 건물에 대해 부여하는 것으로 기존 기존 3~1등급 보다 높은 등급으로 올해부터 도입했다.",0,0,0
스타강사에 ‘안방과외’… ‘인강(인터넷 강의)’만 잘 들어도 성적이 쑥쑥,0,0,0
내년 출시를 목표로 ‘뮤’의 뒤를 이을 새로운 롤플레잉게임을 준비중이다.,0,0,0
게이머들의 관심이 큰 ‘뮤’ 공성전도 올 중반께 선을 보인다.,0,0,0
“‘뮤’ 공성전은 지난해 하반기 출시예정이었지만 약속을 못지켰어요.,0,0,0
"올해 일본,태국의 유료화를 개시하는 한편 아직 진출하지 못한 아시아 1∼2개국에 추가 진출할 예정이다.",0,0,0
대신 복권시장의 90%를 점유 하고 있는 로또복권에 대해선 판매가를 절반으로 줄여 사실상 1 등 당첨금을 대폭 깎았다.,0,0,0
지난 2002년 11월 정부는 2차 복권발행조정위원회를 열어 ‘복권시장의 단계적 정비방안’을 내놨다.,0,0,0
"설익은 특소세 인하ㆍ폐지 방침 발표에 가전사, 백화점 등 유통업체와 골프용품업계가 대혼란에 빠졌다.",0,0,0
"2일 한 백화점 바이어는 ""고가보석 골프채 가구류 등 특소세 폐지가 거 론되는 품목은 내년이면 값이 내릴 것이라는 기대감 때문에 사려던 고 객까지 구매를 미루고 있다""며 ""특소세 인하 대상이 아닌 에어컨 등 다 른 품목도 인하 기대감 때문에 매출에 타격을 받지 않을까 걱정""이라고 털어놨다.",10,0,1
TV홈쇼핑 업체들도 특소세 인하계획 때문에 고가 보석에는 매수심리가 위축될 것으로 보고 관련 방송 프로그램을 대폭 줄였다.,13,0,1
토필드는 유럽시장 등에서 차세대 디지털 방송기기로 각광받고 있는 PVR 간판 기업으로 지난 98년 설립됐다.,0,0,0
일반 셋톱박스업체로 분류되기도 하지만 셋톱박스에 비해 가격이 7~8배에 달하고 영업이익률도 30%가량인 PVR이 토필드의 주력제품이다.,0,0,0
일반적으로 셋톱박스의 영업이익률이 5~10%에 불과하다.,0,0,0
아직 셋톱박스의 매출비중이 크지만 구색을 갖추기 위해 제품을 내놓고 있으며 앞으로 PVR 매출비중을 지속적으로 늘려나갈 계획이다.,0,0,0
"PVR은 디지털방송수신기에 동시녹화, 재생기능을 탑재한 차세대 디지털 방송기기다.",0,0,0
토필드가 자체 기술로 개발한 2세대 PVR은 유료채널 2개 이상을 동시에 녹화할 수 있으며 PIP 및 MP3 탑재 기능 등을 세계에서 유일하게 보유하고 있다.,0,0,0
PVR 제품의 매출 비중은 해마다 늘어나고 있다.,0,0,0
지영석 : 한국의 책값은 외국에 비해서는 비교적 싼 편이다.,10,0,0
프레시안 : 책값이 계속 오르고 있는 것도 문제점으로 지적되고 있다.,10,3,0
"어떤 책이 어떻게 팔리고, 재고가 얼마나 되고.",0,0,0
프레시안 : 출판 유통에서 최종 소비자와 책을 대면시키는 서점의 역할이 매우 중요하다.,0,0,0
대형 서점과 같은 대규모 서점이 성공한 것은 소비자에게 다양하고 많은 종 수의 책을 제공한다는 점에서 일단은 긍정적으로 생각한다.,0,0,0
"단, 도서정가제는 개인적으로 바람직한 제도가 아니라고 생각한다.",0,0,0
프레시안 : 도서정가제의 어떤 점이 문제라고 생각하는가?,0,0,0
"한국에 작가가 없는 것인지, 출판사들이 작가에게 투자를 안 하는 것인지, 좋은 작품들을 더 많은 독자들과 만날 수 있도록 적극적인 마케팅을 못 하는 것인지, 그 이유가 너무나 궁금했다.",0,0,0
"한국 작품은 매우 수준이 높아, 누가 읽어도 감동을 주는 경우가 많다.",0,0,0
현재 한국의 작품에 계속 관심을 가지면서 보고 있는데 새삼 그 높은 수준에 놀라곤 한다.,0,0,0
"한국 작가, 노벨문학상 받게 하는 게 우리의 목표    프레시안 : 국내서와 번역서의 비중을 8대 2의 비중으로 펴내겠다고 발표했다.",0,0,0
올해 국내외 영화판권 확보에만 최소한 60억~70억원을 투입할 계획이어서 판권경쟁은 더욱 치열해질 전망이다.,0,0,0
“값싸고 휴대편해” 모바일 e북 시대 활짝,10,1,0
이처럼 e북의 인기가 높아진 까닭은 휴대 용이성과 가격 경쟁력 때문.,10,1,0
"국내에서 인기를 얻었던 e북 가운데 ‘가방…’과 ‘모랫말…’은 TV프로그램인 ‘느낌표’ 선정도서이며, 그 밖에 경제·경영분야 실용서와 가벼운 읽을거리 위주의 책들이 목록에 올랐다.",0,0,0
일본 독자들 역시 실용서와 엔터테인먼트 위주의 책 또는 오프라인에서 큰 인기를 얻은 베스트셀러를 찾았다.,0,0,0
한국출판마케팅연구소 한기호 소장은 “모바일 장치를 통해 책을 읽을 때는 편집 개념이 배제돼 있다”며 “텍스트만으로 책을 접하기 때문에 좀 더 자극적이고 쉬운 것을 선호하는 경향이 나타난다”고 분석했다.,0,0,0
수능 전문 인터넷 교육사이트인 하이브레인의 동영상 영어 강의인 '듀오 3.0'은 연령 불문하고 전 나이대에서 골고루 이용하 고 있는 것으로 나타났다.,0,0,0
개발원은 이와 함께 게임 교육교재 15종을 개발해 전국 80여 게임교육기관에 보급하고 일반인을 대상으로 하는 e러닝 콘텐츠를 23과목 개발해 ‘게임 원격교육’을 활성화한다.,0,0,0
"6개월의 비디오게임 개발자과정을 신설해 실수요자 중심의 교육으로 탈바꿈시키는 한편 게임PM과정, 마케팅 과정, 시나리오 과정 등을 신설해 소수정예의 게임개발 전문가를 양성할 계획이다.",0,0,0
컴퓨터 핸드폰 고급냉장고 등 각종 디지털 제품이 각 가정으로 파고들고 있다.,0,0,0
모처럼 날씨가 포근해 가족과 함께 놀이기구를 타고 동물원을 돌아보며 즐거운 시간을 보냈다.,0,0,0
이제 디자인은 국가경쟁력을 결정하는 `최후의 승부처'인 셈이다.,0,0,0
"한은 관계자는 ""코로나19로 인한 여행, 레저 수요 급감 등이 하락 요인으로 작용했다""고 말했다.",10,1,0
다소 떨어지는 하드웨어 스펙에도 사용자 경험이 상당히 좋기 때문이다.,0,0,0
오는 23일부터 최근 인기를 모으고 있는 유튜버 '흔한남매'와 롯데제과가 협업한 '롯데제과X흔한남매 콜라보 한정판세트'를 11번가에서 6000세트를 단독 선판매한다.,0,0,0
"☞공감언론 뉴시스 jey@newsis.com▶ 선택 2020, 제21대 총선의 모든 것▶ K-Artprice, 유명 미술작품 가격 공개▶ 뉴시스 빅데이터 MSI 주가시세표 바로가기",0,0,0
"▶ 선택 2020, 제21대 총선의 모든 것▶ K-Artprice, 유명 미술작품 가격 공개▶ 뉴시스 빅데이터 MSI 주가시세표 바로가기",0,0,0
"엠빅뉴스▶ MBC 14층 사람들이 만든 뉴스 ""14F""Copyright Since 1996, MBC&iMBC All rights reserved.",0,0,0
"해외 단체 여행비, 국제 항공료 등이 큰 폭으로 내렸고 졸업식 등 각종 행사가 취소되면서 생화 가격은 11.8% 급락했습니다.",10,1,0
"해외 단체 여행비, 국제 항공료 등이 큰 폭으로 내렸고 졸업식 등 각종 행사가 취소되면서 생화 가격은 11.8% 급락했습니다.",8,1,0
"‘보고 들으며 함께하는 과학’에는 사이언스TV와 과학 팟캐스트 ‘과장창’, 유튜브 과학영상 ‘과학쿠키’, ‘긱블’, 연구자와 과학커뮤니케이터가 과학을 이야기로 들려주는 ‘페임랩’ 등의 콘텐츠가 제공된다.",0,0,0
하루 미루면 2천만원 손해인데... '일시정지'에 영화계 당혹,0,0,0
"해외 촬영은 물론, 국내 로케도 어려워져... 제작사, 매니지먼트 고군분투- 현장에 손세정제와 열감지기가 준비돼 있습니다.",0,0,0
코로나19 사태가 두 달 넘게 이어지며 현재 제작 중인 작품에까지 큰 영향을 미치고 있다.,0,0,0
해외 촬영뿐만 아니라 국내 촬영도 지장  ▲  지난 1월 13일 오전 서울 왕십리로의 한 상영관에서 열린 영화 ＜지푸라기라도 잡고 싶은 짐승들＞ 제작보고회 ⓒ 이정민 메가박스 플러스엠과 쇼박스 측은 에 국내 촬영분부터 먼저 진행한다는 입장을 전했다.,0,0,0
"메가박스 플러스엠 관계자는 ""다행히 촬영 준비엔 차질이 없다""며 ""요르단 촬영은 상황이 나아진 이후에 진행할 것 같다""고 말했다.",0,0,0
"작품 포스터를 찍기로 돼 있었는데 전날 안 된다는 통보를 받아 급히 비슷한 느낌의 다른 장소를 구해야만 했다""라고 말했다.",0,0,0
"굳이 공공 기관, 관공서가 아니더라도 스태프와 배우 등 많은 인원이 한 장소에서 촬영하는 것 자체를 반기지 않는 분위기라며 ""로케이션 촬영에서 세트 촬영으로 바뀌는 비중이 갈수록 늘어 초과 근무를 해야 하는 상황""이라 답했다.",0,0,0
코로나19 잡지 못하면 타격 막심해질 것  ▲   역시 개봉 연기를 결정했지만 이미 녹화한 예능 프로는 예정대로 방영돼야 했다.,0,0,0
당장 소속 배우를 통해 사업을 하는 매니지먼트사나 거액을 투자받아 정해진 기일에 콘텐츠를 만들어야 하는 제작사들은 입을 모아 현 상황이 임시방편임을 강조했다.,0,0,0
"안성시, ‘아이돌봄 서비스’ 특례기간 연장",0,0,0
특례기간 중에는 아이돌봄 서비스 이용요금 중 정부지원율을 기존 0~85%에서 40~90%까지 확대 지원한다.,13,1,0
"유종우 한국투자증권 연구원은 ""스마트폰을 비롯해 TV, 가전 수요 부진과 일부 부품 수요부진 영향을 반영해 올해 연간 영업이익 추정치를 39조7000억원으로 기존 대비 13.5% 하향 조정한다""며 ""스마트폰 사업은 1분기는 양호하겠지만 2분기에는 위험을 감안해야 한다""고 설명했다.",10,0,1
타사 캐릭터 카드 추이와 비교해 봐도 빠른 속도다.,0,0,0
"업계 관계자는 ""집에 있는 시간이 많아지면서 OTT를 많이 찾고 있는 듯 하다""며 ""또 영화관을 가기 어려운 상황이되면서 대안 서비스를 찾는 경향으로도 보인다""고 말했다.",0,0,0
반면 음원 서비스 업체들은 코로나로 타격이 크다.,0,0,0
한국음악콘텐츠협회가 운영하는 가온차트에 따르면 지난달 음원 이용량 400은 1월에 비해 11.7% 줄었다.,0,0,0
"가온차트는 멜론, 지니뮤직, 벅스 등 국내 주요 음악 서비스 데이터를 분석해 제공한다.",0,0,0
"김진우 가온차트 수석연구위원은 ""지난달은 윤달로 예년에 비해 영업일수가 하루 더 많고, 신규 음원도 늘었는데 이용량이 감소한 것은 공급자보다 수요자 입장에서 실질적인 소비가 줄어든 탓일 수 있다""며 ""재택근무 영향으로 출퇴근 시 음악을 집중 소비하던 방식이 깨져 나타난 결과로 보인다""고 설명했다.",0,0,0
음원 업체들은 할인 이벤트로 이용자 붙잡기에 나서고 있지만 코로나 사태가 장기화될 수 있는만큼 우려가 많다.,0,0,0
"멜론은 무제한 스트리밍, 무제한 스트리밍과 MP3 음원30곡을 다운로드 할 수 있는 MP3 30플러스 상품을 2개월간 50% 할인해 주는 이벤트를 열고 있다.",10,1,0
지니도 7천400원짜리 모바일 전용 스트리밍 요금제를 첫 달에 100원에 이용할 수 있는 이벤트를 진행 중이다.,10,1,0
"반면 TV용 액정표시장치 4.3%, 플래시메모리 10.7%, DRAM 2.8% 등은 상승했다.",17,3,0
"무학+3.29%, 보해양조+2.55%, 롯데칠성+2.10% 등이 테마 상승을 이끌고 있다.",16,3,0
"월트디즈니는 이날 성명에서 ""현재 전 세계적으로 다수의 영화관이 폐쇄됐다는 점을 고려해 당분간 글로벌 박스오피스 자료 발표를 중단할 것""이라며 ""어려운 시기에 모두가 최선을 다하길 바란다""고 밝혔다.",0,0,0
그는 또 내년 시즌에 선보일 예정이었던 신작 오페라 리허설도 무산될 것이라고 덧붙였다.,0,0,0
3000원만 내면 체험할 수 있다.,0,0,0
봄꽃이 피어나기 시작한 정원은 짜임새가 느껴지진 않는다.,0,0,0
"또한, 피트니스, 실내 수영장을 무료로 이용할 수 있고 식음업장에서 푸드에 한하여 10% 할인해주며 7월 투숙고객에게는 패션매거진 별책과 Kenzo 미니어처 향수와 비누를 증정한다.",12,1,0
지난 5월 새 윈저를 내놓으면서 은근슬쩍 가격을 인상했다.,3,3,0
코레일 부산지사는 부산역 건물에 고객 쉼터인 오션라운지와 대형 북카페를 조성한다고 12일 밝혔다.,0,0,0
또 부산시 티오케스트라가 한달에 한 번 정기공연을 하고 부산역 광장에서는 노래공연팀 소리바다가 월 1차례 정기공연을 한다.,0,0,0
공사가 끝나면 고객맞이방에는 기차를 기다리는 사람들이 편안하게 쉴 수 있는 쉼터인 오션라운지와 책을 보며 휴식할 수 있는 대형 북카페가 들어선다.,0,0,0
특히 이곳에서는 부산시티오케스트라가 한달에 한 번 정기공연을 하고 부산역 광장에서는 노래공연팀 소리바다가 월 1차례 정기공연을 한다.,0,0,0
코레일은 이곳을 비즈니스맨들이 저렴한 가격으로 회의를 하거나 각종 미술작품을 전시하는 공간으로 활용할 계획이다.,0,0,0
인터넷TV가 자체 스포츠채널을 만들어 다음 달부터 스포츠방송을 제공한다.,0,0,0
하지만 ‘돈이 많이 드는’ 스포츠채널을 IPTV 사업자가 유지하는데 상당한 비용부담을 감수해야 할 것으로 보인다.,0,0,0
A증권회사의 이광학씨는 “술값뿐 아니라 당구장·노래방 요금도 신촌 등 인근 지역이 더 싸다.,10,0,0
최고가 악기를 비교하면 하프가 플루트보다 저렴해요.,0,0,0
'라는 콘셉트로 매일 오후 5시 대구백화점 앞 티켓부스에서 공식초청작 R석 입장권을 7천원에 판매하는 이벤트도 벌인다.,10,0,0
"박진 연구원은 ""오리온이 온미디어에 대한 매각의사를 거의 확실시하고 있다""며 ""CJ에 인수된다면 콘텐츠 비용 상승을 가속화시켰던 CJ미디어와의 경쟁이 해소되고 CJ미디어 입장에서도 콘텐츠 비즈니스를 활성화시킬 수 있을 것""이라고 말했다.",0,0,0
"미국행의 경우 퍼스트·비즈니스석 요금은 15%, 일반석은 10%씩 올랐다.",8,3,0
그래도 '옛날식 휴가'를 굳이 가겠다면 적어도 알뜰하게 다녀올 수 있는 방법이라도 찾아보자.그래서 여행사 대표들에게 물었다.,0,0,0
특히 텍사스의 정통 서부문화를 체험할 수 있는 '로데오'와 '목장체험' 등 텍사스만의 문화와 야외 스포츠 등 즐길거리들이 담겨 있다고 소개했다.,0,0,0
중국에 부는 골프 바람지난 11일 베이징 시내에서 동남쪽 방향으로 30분 거리에 있는 천하제일성 골프장.옛 베이징성 모습을 재현한 이 골프장의 클럽하우스에 앉아 식사하던 중년 남녀 8명 중 한 명이 퀴즈를 냈다.,0,0,0
골프는 몇 년 전만 해도 13억 중국인들에게 낯선 운동이었다.,0,0,0
비싼 장비가 필요하고 많은 돈이 드는 골프는 그래서 특수 계층의 특별한 놀이쯤으로 여겨졌다.,0,0,0
하지만 경제가 발전하면서 골프 수요는 급증 추세다.,0,0,0
그만큼 중국인 사이에 골프 수요가 늘고 있다는 뜻이기도 하다.,0,0,0
골프에 대한 인식 자체도 달라지고 있다.,0,0,0
"그래서 그린 피가 지속적으로 상승,웬만한 골프장은 주말 비회원의 경우 1000위안을 넘는다.",10,3,0
이곳의 VIP룸 1년 사용료는 무려 30만위안.이곳과 연계된 골프장에서 1년간 회원 대우를 해주지만 웬만한 골프장의 연간 회원권값과 맞먹는다.,10,3,0
파인디지털도 ‘아틀란’ 3D 지도를 올해 말께 서비스한다는 방침을 정하고 지도 개발에 한창이다.,0,0,0
이처럼 내비게이션 업체들의 3D 지도가 다시 쏟아지는 이유는 기술 경쟁력에서 뒤처지지 않겠다는 업계 간 자존심 싸움인 것으로 풀이된다.,0,0,0
"한편, 최근 3D 지도 업그레이드 서비스에 대한 본격적인 유료화를 실시하고 있는 팅크웨어는 고객불만의 우려와 달리 하루 평균 100여명이 유료 서비스를 받고 있다고 전했다.",0,0,0
하지만 그럼에도 커브는 상당히 눌리고 있다.,0,0,0
COOL하고 짜릿하게 ‘하드코어’ 물놀이 전쟁,0,0,0
지하 1층·지상 4층으로 조성된 워터파크는 3500명을 동시에 수용할 수 있고 지하층은 클럽하우스가 들어서 있다.,0,0,0
"층별 구성은 1층 입장시설, 2층 라커시설, 3층 슬라이드, SPA, 파도풀 등 물놀이시설, 4층 찜질방 등.",0,0,0
또 옥외에는 자작나무 숲에서 핀란드 사우나를 즐길 수 있는 테마탕과 히노키탕 등 스파시설과 다양한 물놀이시설을 갖췄다.,0,0,0
캐리비안 베이 이중 바데풀은 수치료 마사지를 즐길 수 있고 외부공간의 아쿠아바와 연결돼 이벤트 스파까지 편리하게 이용할 수 있다.,0,0,0
"오픈 1주년을 기념해 홈페이지에서 퀴즈를 풀면 제주휘닉스아일랜드 숙박권 5장, 휘닉스파크 숙박권 10장, 블루캐니언 입장권 30장을 추첨으로 제공한다.",0,0,0
한편 이날 콘서트의 입장요금은 1만원이며 티켓 소지자는 엑스포공원을 무료로 관람할 수 있고 입장권은 대구은행 경주시 전 지점에서만 예매가 가능하다.,10,1,0
"박 연구원은 ""온미디어가 CJ미디어와의 소싱 경징이 콘텐츠 비용 상승의 요인이었으나 CJ그룹이 인수하면 비용상승률을 낮출수 있을 것""이라고 말했다.",10,0,2
"LG노텔 이승도 상무는 ""영상회의는 전 세계적인 불황 속에서 비용절감의 장점을 앞세워 급성장하고 있는 시장""이라며 ""기존 LG노텔 제품에 최고 성능의 영상회의 솔루션을 통합한 완벽한 UC 솔루션을 국내에 공급하겠다""고 말했다.",0,0,0
이지성기자 ezscape@◆사진설명 : LG노텔 직원들이 폴리콤의 'RPX HD 400' 텔레프레즌스 장비로 서울과 베이징을 연결해 영상회의를 하고 있다.,0,0,0
"커뮤니티 시설로는 농구, 배드민턴, 족구 등을 즐길 수 있는 멀티코트를 비롯한 외부시설과 헬스, 골프연습장 등을 갖췄다.",0,0,0
"김포한강신도시 내 건설되는 수로 입구에서는 역사문화특화 수변공원을 이용할 수 있고, 문화예술센터와 청소년수련관도 단지 인근에 있다.",0,0,0
물론 미국과 일본 등에서는 전통적 콘솔게임이 강세를 보이는 바람에 온라인게임이 상대적으로 밀리기도 한다.,0,0,0
지난 2004년까지만해도 세계 게임시장에서 콘솔게임과 아케이드 게임이 차지하는 비중은 온라인게임에 비해 무려 10배가 넘었다.,0,0,0
"중요한 것은 이처럼 콘솔, 아케이드 게임에 비해 규모가 작았던 온라인게임이 인터넷 인프라 발전과 PC보급률 확대에 힘입어 급부상하고 있다는 점이다.",0,0,0
하이원리조트 200% 즐기기,0,0,0
여름 스키장에서 즐기기에 그만이다.,0,0,0
"디아지오코리아는 내달 1일부로 `윈저` 제품의 가격을 12년은 4.7%, 17년은 4.3% 인상한다고 12일 밝혔다.",3,3,0
"한편, 윈저의 가격 인상으로 경쟁 제품인 `임페리얼`의 가격도 인상될 가능성이 커졌다.",3,0,3
